disease,rank,source_id,title,year,journal,doi,pmid,status,verification_status,reason
ckd,1,src-ckd-131,Absence of renal cortical anisotropic backscattering artifact in feline chronic kidney disease,2021,,10.1080/01652176.2021.1941397,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,2,src-ckd-025,Resistivity and pulsatility indexes in feline kidney disease: a systematic review,2022,,10.1111/vru.13102,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,3,src-ckd-040,Renal Infiltration of Macrophages in Canine and Feline Chronic Kidney Disease,2019,,10.1016/j.jcpa.2019.05.006,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,4,src-ckd-045,Electrophoretic patterns of proteinuria in feline spontaneous chronic kidney disease,2020,,10.1177/1098612x19827597,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,5,src-ckd-039,Changes in Renal Peritubular Capillaries in Canine and Feline Chronic Kidney Disease,2018,,10.1016/j.jcpa.2018.03.004,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,6,src-ckd-046,Feline abdominal ultrasonography: what’s normal? what’s abnormal? The kidneys and perinephric space,2020,,10.1177/1098612x20917598,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,7,src-ckd-173,Diagnosis of the cat with early chronic kidney disease,2020,,10.12968/coan.2020.0013a,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,8,src-ckd-043,Investigation of hallmarks of carbonyl stress and formation of end products in feline chronic kidney disease as markers of uraemic toxins,2019,,10.1177/1098612x18783858,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,9,src-ckd-120,Supporting quality of life in feline patients with chronic kidney disease,2017,,10.12968/vetn.2017.8.4.200,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,10,src-ckd-086,The nutritional management of feline chronic kidney disease,2015,,10.12968/coan.2015.20.3.162,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,1,src-hcm-181,"Hypertrophic cardiomyopathy in cats: clinical prevalence, risk factors, and outcomes of arterial thromboembolism in a referral population in Tehran, Iran (2020-2024)",2025,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,2,src-hcm-091,A Practical Guide to the New Feline Cardiomyopathy Consensus Statement,2020,,10.12968/vetn.2020.11.8.375,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,3,src-hcm-188,Comparative cardiac macroscopic and microscopic study in cats with hyperthyroidism vs. cats with hypertrophic cardiomyopathy,2023,,10.1080/01652176.2023.2234436,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,4,src-hcm-080,Numerical simulations of flow pattern and particle trajectories in feline aorta for hypertrophic cardiomyopathy heart conditions,2017,,10.1080/19942060.2017.1339640,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,5,src-hcm-086,"ACVIM consensus statement guidelines for the classification, diagnosis, and management of cardiomyopathies in cats",,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,6,src-hcm-186,Population characteristics and survival in 127 referred cats with hypertrophic cardiomyopathy (1997 to 2005),2010,,10.1111/j.1748-5827.2010.00989.x,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,7,src-hcm-041,Impaired cardiac mitochondrial oxidative phosphorylation and enhanced mitochondrial oxidative stress in feline hypertrophic cardiomyopathy,2014,,10.1152/ajpheart.00727.2014,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,8,src-hcm-167,Heat shock proteins and small nucleolar RNAs are dysregulated in a Drosophila model for feline hypertrophic cardiomyopathy,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
