Pathogenesis of Feline Diabetes,https://www.sciencedirect.com/science/article/abs/pii/S0195561613000041?via%3Dihub
Pathogenesis of Feline Diabetes Mellitus,https://www.sciencedirect.com/science/article/abs/pii/S0195561695500518?via%3Dihub
Feline Models of Type 2 Diabetes Mellitus,https://academic.oup.com/ilarjournal/article/47/3/234/669562
Neurological Complications Associated with Spontaneously Occurring Feline Diabetes Mellitus,https://academic.oup.com/jnen/article-abstract/61/10/872/2916290?redirectedFrom=fulltext&login=false
Feline comorbidities: Pathophysiology and management of the obese diabetic cat,10.1177/1098612X211021540
The Role of Diet in the Prevention and Management of Feline Diabetes,https://www.sciencedirect.com/science/article/abs/pii/S0195561612002100?via%3Dihub
Systematic review of feline diabetic remission: Separating fact from opinion,https://www.sciencedirect.com/science/article/abs/pii/S1090023314003359?via%3Dihub
Treatment of feline diabetes mellitus using an α-glucosidase inhibitor and a low-carbohydrate diet,10.1016/S1098-612X(03)00006-8
Feline diabetes mellitus in the UK: the prevalence within an insured cat population and a questionnaire-based putative risk factor analysis,10.1016/J.JFMS.2007.02.001
Feline Comorbidities: Clinical perspective on diabetes mellitus and pancreatitis,10.1177/1098612X221106355
SGLT2 inhibitor use in the management of feline diabetes mellitus,10.1111/JVP.13466
Frequency of feline diabetes mellitus and breed predisposition in domestic cats in Australia,10.1016/J.TVJL.2007.09.019
"Hypersomatotropism, acromegaly, and hyperadrenocorticism and feline diabetes mellitus",10.1016/J.CVSM.2012.12.004
Feline Diabetes mellitus,10.1177/1098612X14523187
Comparison of a low carbohydrate-low fiber diet and a moderate carbohydrate-high fiber diet in the management of feline diabetes mellitus,10.1016/J.JFMS.2005.08.004
Feline Diabetes Mellitus: Low Carbohydrates Versus High Fiber?,10.1016/J.CVSM.2006.09.004
New Approaches to Feline Diabetes Mellitus,10.1177/1098612X16660441
Endoneurial microvascular pathology in feline diabetic neuropathy,10.1016/J.MVR.2007.12.002
What is So Special about Feline Diabetes Mellitus?,10.1053/JFMS.2001.0123
Feline Comorbidities: Hypersomatotropism-induced diabetes in cats,10.1177/1098612X241226690
Diabetes mellitus in cats,10.1016/J.CVSM.2004.10.001
Use of a high-protein diet in the management of feline diabetes mellitus,https://pubmed.ncbi.nlm.nih.gov/19746667/
"Comparative occurrence of diabetes in canine, feline, and few wild animals and their association with pancreatic diseases and ketoacidosis with therapeutic approach ",https://www.veterinaryworld.org/Vol.11/April-2018/2.html
Insulin glargine 300 U/ml for the treatment of feline diabetes mellitus,https://journals.sagepub.com/doi/10.1177/1098612X211013018
,
Feline Diabetes mellitus,10.1177/1098612X14523187
Feline Diabetes Is Associated with Deficits in Markers of Insulin Signaling in Peripheral Tissues,10.3390/IJMS252313195
An individual approach to feline diabetes care: a case report and literature review,10.1186/S13028-016-0245-0
Comparison of a low carbohydrate-low fiber diet and a moderate carbohydrate-high fiber diet in the management of feline diabetes mellitus,10.1016/J.JFMS.2005.08.004
Feline Diabetes Mellitus: Low Carbohydrates Versus High Fiber?,10.1016/J.CVSM.2006.09.004
New Approaches to Feline Diabetes Mellitus,10.1177/1098612X16660441
Endoneurial microvascular pathology in feline diabetic neuropathy,10.1016/J.MVR.2007.12.002
"Current Understanding of Feline Diabetes: Part 2, Treatment",10.1053/JFMS.2000.0057
What is So Special about Feline Diabetes Mellitus?,10.1053/JFMS.2001.0123
"Comparative Aspects of Human, Canine, and Feline Obesity and Factors Predicting Progression to Diabetes",10.3390/VETSCI1020121
Feline Comorbidities: Hypersomatotropism-induced diabetes in cats,10.1177/1098612X241226690
Oxidative stress and innate immunity in feline patients with diabetes mellitus: the role of nutrition,10.1016/J.JFMS.2008.07.004
Diabetes mellitus in cats,10.1016/J.CVSM.2004.10.001
Use of a high-protein diet in the management of feline diabetes mellitus.,https://pubmed.ncbi.nlm.nih.gov/19746667/
"Comparative occurrence of diabetes in canine, feline, and few wild animals and their association with pancreatic diseases and ketoacidosis with therapeutic approach.",10.14202/VETWORLD.2018.410-422
Insulin glargine 300 U/ml for the treatment of feline diabetes mellitus,10.1177/1098612X211013018
Indoor confinement and physical inactivity rather than the proportion of dry food are risk factors in the development of feline type 2 diabetes mellitus.,10.1016/J.TVJL.2007.08.035
Comparable myelinated nerve pathology in feline and human diabetes mellitus,10.1007/S00401-006-0163-8
Feline Insular Amyloid: Association with Diabetes Mellitus,10.1177/030098588101800507
Glargine versus regular insulin protocol in feline diabetic ketoacidosis,10.1111/VEC.13062
"Feline comorbidities: Recognition, diagnosis and management of the cushingoid diabetic.",10.1177/1098612X20979507
"Velagliflozin, a once-daily, liquid, oral SGLT2 inhibitor, is effective as a stand-alone therapy for feline diabetes mellitus: the SENSATION study.",10.2460/JAVMA.24.03.0174
Updates in Feline Diabetes Mellitus and Hypersomatotropism.,10.1016/J.CVSM.2020.06.005
Risk factors for feline diabetes mellitus,https://dspace.library.uu.nl/items/04d73cf0-eb6f-46c2-818a-5f05b810cfe5
Regulation of insulin-like growth factor-binding protein-3 ternary complex in feline diabetes mellitus.,10.1677/JOE.0.1660021
Clinical usefulness of fructosamine measurements in diagnosing and monitoring feline diabetes mellitus.,10.1111/J.1748-5827.1996.TB01940.X
The Cat as a Model for Human Obesity and Diabetes,10.1177/193229681200600306
Feline Diabetes Mellitus and Differential Diagnosis We Need to Consider,10.15835/BUASVMCN-VM:11329
Understanding feline diabetes: pathogenesis and management.,10.1080/01652176.1998.10807397
Feline diabetes—personal experience,10.1046/J.1464-5491.2003.00817_1.X
"Feline diabetes mellitus: diagnosis, treatment, and monitoring.",https://pubmed.ncbi.nlm.nih.gov/19140103/
"Hyperglycemic, hyperosmolar syndrome in feline diabetics: 17 cases (1995–2001)",10.1111/J.1534-6935.2004.00117.X
