An Update on Feline Calicivirus,10.17236/SAT00346
Feline calicivirus,https://www.vetres.org/articles/vetres/abs/2007/02/v06220/v06220.html
Comparison of the ability of feline calicivirus (FCV) vaccines to neutralise a panel of current UK FCV isolates,https://journals.sagepub.com/doi/10.1016/j.jfms.2007.06.011
Feline Calicivirus Infection: ABCD Guidelines on Prevention and Management,https://journals.sagepub.com/doi/10.1016/j.jfms.2009.05.004
Epidemiological Investigation of Feline Upper Respiratory Tract Infection Encourages a Geographically Specific FCV Vaccine,https://www.mdpi.com/2306-7381/10/1/46
Feline calicivirus and other respiratory pathogens in cats with Feline calicivirus-related symptoms and in clinically healthy cats in Switzerland,https://link.springer.com/article/10.1186/s12917-015-0595-2
Feline Calicivirus Infection: Current Understanding and Implications for Control Strategies,https://www.mdpi.com/2076-2615/15/14/2009
Sensitivity of FCV to recombinant feline interferon (rFeIFN),https://link.springer.com/article/10.1007/s11259-007-9019-5
Calicivirus Infection in Cats,https://www.mdpi.com/1999-4915/14/5/9377
Neutralizing Feature of Commercially Available Feline Calicivirus (FCV) Vaccine Immune Sera against FCV Field Isolates,https://www.jstage.jst.go.jp/article/jvms/61/3/61_3_299/_article
Characterization of an avirulent FCV strain with a broad serum cross-neutralization profile and protection against challenge of a highly virulent vs feline calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0168170214001129?via%3Dihub
"Use of serologic tests to predict resistance to feline herpesvirus 1, feline calicivirus, and feline parvovirus infection in cats",https://avmajournals.avma.org/view/journals/javma/220/1/javma.2002.220.38.xml
A novel replication-deficient FCV vaccine provides strong immune protection in cats,https://journals.asm.org/doi/10.1128/jvi.00093-25
Potential Therapeutic Agents for Feline Calicivirus Infection,https://www.mdpi.com/1999-4915/10/8/433
Molecular Virology of Feline Calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0195561608000752?via%3Dihub
Distribution of the Feline Calicivirus Receptor Junctional Adhesion Molecule A in Feline Tissues,https://journals.sagepub.com/doi/10.1177/0300985810375245
